CODIGO;ORD;RUBRO;PRECIO;NEW;CARPETA;EAN;LINEA1;LINEA2;LINEA3;LINEA4
ML-SEC02B;;Cocina;41900;;FOTOS2;;Secaplatos Escurridor con Secavasos y Cubiertero  | Negro;Alto: 51cm, Ancho: 33cm, Largo: 85cm;Material: Acero Inoxidable;
ML-SEC03B;;Cocina;20900;;FOTOS2;;Secaplatos Escurridor  con Bandeja, Secavasps y Cubiertero | Negro;Alto: 15cm, Ancho: 32cm, Largo: 43cm;Materiales: Acero Cromado y Plastico;
ML-SEC03W;;Cocina;20900;;FOTOS2;;Secaplatos Escurridor  con Bandeja, Secavasps y Cubiertero | Blanco;Alto: 15cm, Ancho: 32cm, Largo: 43cm;Materiales: Acero Cromado y Plastico;
ML-SEC05S;;Cocina;19900;;FOTOS2;;Secaplatos Escurridor con Cubiertero ;Alto: 37cm, Ancho: 23cm, Largo: 48cm;Material: Acero Inoxidable;
ML-TEND01;;Cocina;29900;;FOTOS2;;Tende de Ropa Vertical;Alto: 170cm, Ancho: 75cm, Largo: 65cm;Materiales: Plastico y Aluminio;
D-CB100;;Contadoras de Billetes;71900;;FOTOS1;'7798019955727;Contadora Billetes;Tipo de detección: UV /MG;220v;Dimensiones: 19cm de alto, 28cm de largo y 25cm de ancho.
D-CB2000;;Contadoras de Billetes;119900;;FOTOS1;'7798019952061;Contadora Billetes;Tipo de detección: UV /MG;220v;Medidas: 190 x 280 x 250 mm
D-CB210;;Contadoras de Billetes;89900;;FOTOS1;'7798019955741;Contadora Billetes;Tipo de detección: UV /MG;220v;Medidas: 265 x 235 x 230 mm
D-CB3000-C;;Contadoras de Billetes;739900;;FOTOS1;'7799199012453;Clasificadora de Billetes;Tipo de detección: uv, mg, ir, sdc, mdc, sdcv.;220v;Medidas: 265x 235x 230 mm
D-CB40;;Contadoras de Billetes;35900;;FOTOS1;'7798019955215;Contadora Billetes Portátil;Tipo de detección: UV /MG;220v (FUENTE NO INCLUIDA) y Pilas AA;Medidas: 75x190x102mm
D-CB4000-C;;Contadoras de Billetes;1499900;;FOTOS1;'7799199012477;Clasificadora de Billetes;Tipo de detección: uv, mg, ir, sdc, mdc, sdcv.;220v;Medidas: 245 x 270 x 288 mm
ML-GYM01;;Gimnasio;189900;;FOTOS2;'7799199015997;Banco Pecho Plano Gimnasio Plegable;Altura: 105cm, Largo 120cm, Ancho: 71cm;Soporta hasta 150kg;Materiales: Hierro, espuma, cuero sintetico
ML-GYM02;;Gimnasio;169900;;FOTOS2;'7799199016000;Soporte Para Barra Sentadillas Regulable;Altura regulable: 112-177cm, Ancho: 53cm;Soporta hasta 250kg;Material: Hierro
ML-GYM04;;Gimnasio;169900;;FOTOS2;;Banco Gimnasio Plano Multiangular;Altura: 93,5cm, Largo 111cm, Ancho: 31cm;Respaldo regulable con 8 posiciones;Materiales: Hierro, espuma, cuero sintetico
ML-GYM05;;Gimnasio;209900;;FOTOS2;;Agarres Dorsales para Polea de Gimnasio SET x5;Ancho de los agarres: 30.5cm, 30.5cm, 55.5cm, 60.5cm, 81.5cm;Incluye 5 ganchos de acero reforzado;Materiales: Acero recubierto en goma rugosa antideslizante
ML-PEDAL01;;Gimnasio;76900;;FOTOS2;;Pedalera Bicicleta Ergometrica con Monitor Digital;Alto: 32cm, Ancho 20cm, Profundidad: 40cm;Peso: 3.3kg;Requiere Baterias (NO incluidas)
ML-YOGA-1;;Gimnasio;14900;;FOTOS2;;Mat de Yoga;Largo: 173cm, Ancho: 61cm, Espesor: 6mm;Material: PVC;Color: Violeta
ML-YOGA2-A;;Gimnasio;14900;;FOTOS2;;Mat de Yoga con Bolso;Largo: 173cm, Ancho: 61cm, Espesor: 6mm;Material: PVC;Color: Celeste
ML-YOGA2-N;;Gimnasio;14900;;FOTOS2;;Mat de Yoga con Bolso;Largo: 173cm, Ancho: 61cm, Espesor: 6mm;Material: PVC;Color: Negro
ML-YOGA2-V;;Gimnasio;14900;;FOTOS2;;Mat de Yoga con Bolso;Largo: 173cm, Ancho: 61cm, Espesor: 6mm;Material: PVC;Color: Violeta
ML-YOGA-3;;Gimnasio;14900;;FOTOS2;;Mat de Yoga;Largo: 173cm, Ancho: 61cm, Espesor: 6mm;Material: PVC;Color: Rosa
ML-BA888X1;;Handies Baofeng;19900;;FOTOS2;;Handy Baofeng Radio Walkie x 1;Frecuencia: UHF 400-470MHz. 16 canales.;Alcance: 3 a 5km en ciudad / 5 a 10km en campo abierto;Alimentación:  Batería: 1500mAh Li-ion. Autonomía: 8hs aprox
